,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2012,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.50,a,3.92,a,7.43,a,186.3,a,0.7,a,4.8,e
Alaska,2.56,a,3.22,a,5.78,a,57.7,a,5.5,a,0.7,e
Arizona,1.60,a,3.50,a,5.10,a,268.3,a,1.9,a,6.6,e
Arkansas,2.96,a,4.67,a,7.63,a,108.7,a,0.4,a,3.0,e
California,1.44,a,3.56,a,4.99,a,"2,144.5",a,2.5,a,37.9,e
Colorado,1.87,a,3.06,a,4.93,a,273.5,a,1.8,a,5.2,e
Connecticut,1.30,a,3.61,a,4.92,a,243.8,a,0.7,a,3.6,e
Delaware,2.41,a,3.04,a,5.45,a,62.0,a,-0.1,a,0.9,e
District of Columbia,0.00,a,2.16,a,2.16,a,112.7,a,0.6,a,0.6,e
Florida,1.27,a,3.68,a,4.94,a,769.3,a,0.7,a,19.3,e
Georgia,2.05,a,3.90,a,5.95,a,444.1,a,1.0,a,9.9,e
Hawaii,4.78,a,0.00,a,4.78,a,73.6,a,2.1,a,1.4,e
Idaho,1.89,a,3.52,a,5.41,a,57.8,a,-0.1,a,1.6,e
Illinois,1.13,a,3.91,a,5.05,a,720.7,a,1.9,a,12.9,e
Indiana,2.36,a,3.44,a,5.80,a,297.6,a,0.4,a,6.5,e
Iowa,1.93,a,4.39,a,6.32,a,157.3,a,4.0,a,3.1,e
Kansas,1.85,a,4.22,a,6.07,a,140.5,a,1.4,a,2.9,e
Kentucky,2.95,a,3.67,a,6.61,a,176.3,a,1.2,a,4.4,e
Louisiana,1.69,a,3.63,a,5.32,a,233.6,a,-0.2,a,4.6,e
Maine,1.87,a,4.48,a,6.35,a,52.9,a,-0.4,a,1.3,e
Maryland,1.60,a,4.03,a,5.62,a,334.8,a,0.2,a,5.9,e
Massachusetts,1.32,a,3.33,a,4.65,a,444.3,a,2.2,a,6.7,e
Michigan,2.40,a,4.54,a,6.94,a,418.9,a,1.8,a,9.9,e
Minnesota,1.82,a,3.51,a,5.33,a,294.3,a,1.3,a,5.4,e
Mississippi,2.39,a,5.16,a,7.54,a,99.6,a,0.9,a,3.0,e
Missouri,1.45,a,3.95,a,5.40,a,268.8,a,0.8,a,6.0,e
Montana,2.01,a,4.01,a,6.02,a,42.0,a,1.3,a,1.0,e
Nebraska,1.73,a,4.07,a,5.80,a,102.3,a,-0.1,a,1.9,e
Nevada,1.17,a,3.09,a,4.27,a,128.0,a,-1.3,a,2.7,e
New Hampshire,1.63,a,4.15,a,5.78,a,67.7,a,1.3,a,1.3,e
New Jersey,1.68,a,4.51,a,6.20,a,519.7,a,1.7,a,8.8,e
New Mexico,2.75,a,4.48,a,7.23,a,87.6,a,0.5,a,2.1,e
New York,0.98,a,4.52,a,5.50,a,"1,322.5",a,4.2,a,19.6,e
North Carolina,2.16,a,3.40,a,5.55,a,439.6,a,0.1,a,9.7,e
North Dakota,2.04,a,2.57,a,4.62,a,51.3,a,22.4,a,0.7,e
Ohio,1.83,a,4.36,a,6.19,a,540.8,a,0.4,a,11.5,e
Oklahoma,2.25,a,3.21,a,5.47,a,173.5,a,5.0,a,3.8,e
Oregon,2.33,a,4.10,a,6.43,a,174.5,a,0.4,a,3.9,e
Pennsylvania,1.59,a,3.98,a,5.57,a,641.3,a,1.6,a,12.8,e
Rhode Island,1.82,a,4.23,a,6.05,a,51.6,a,0.7,a,1.1,e
South Carolina,2.72,a,4.27,a,7.00,a,175.4,a,0.7,a,4.7,e
South Dakota,1.56,a,3.13,a,4.69,a,43.4,a,1.5,a,0.8,e
Tennessee,1.66,a,3.22,a,4.88,a,283.7,a,3.2,a,6.5,e
Texas,1.58,a,3.46,a,5.04,a,"1,411.4",a,5.0,a,26.1,e
All states combined,1.69,a,3.76,a,5.44,a,"16,197.0",a,2.2,a,313.8,e
Utah,2.99,a,3.37,a,6.36,a,128.7,a,1.3,a,2.9,e
Vermont,3.23,a,5.17,a,8.40,a,28.9,a,0.5,a,0.6,e
Virginia,1.86,a,3.50,a,5.35,a,445.0,a,0.8,a,8.2,e
Washington,1.78,a,3.03,a,4.81,a,400.9,a,3.4,a,6.9,e
West Virginia,3.33,a,4.68,a,8.02,a,69.4,a,-0.4,a,1.9,e
Wisconsin,2.03,a,4.28,a,6.31,a,274.3,a,1.5,a,5.7,e
Wyoming,1.96,a,4.99,a,6.95,a,38.4,a,-2.4,a,0.6,e
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
