STATE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Jersey,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Divided,Dem,Dem,Dem
New Mexico,Dem,Divided,Divided,Divided,Divided,Divided(Split-Leg),Divided(Split-Leg),Divided,Divided,Dem,Dem
New York,Dem,Divided(Split-Leg),Divided(Split-Leg),Dem,Dem*,Divided(Split-Leg),Divided(Split-Leg),Dem,Divided,Dem,Dem
North Carolina,Dem,Divided,Divided,Rep,Rep,Rep,Rep,Divided,Divided,Divided,Divided
North Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Ohio,Divided(Split-Leg),Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Oklahoma,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Oregon,Dem,Divided(Split-Leg),Divided(Split-Leg),Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Pennsylvania,Divided(Split-Leg),Rep,Rep,Rep,Rep,Divided,Divided,Divided,Divided,Divided,Divided
Rhode Island,Divided,Divided,Divided,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
South Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Texas,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Utah,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Divided,Dem,Dem,Dem,Dem,Dem,Dem,Divided,Divided,Divided,Divided
Virginia,Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided(Split-Leg),Divided,Divided,Divided,Divided,Divided,Divided,Dem
Washington,Dem,Dem,Dem,Dem,Dem*,Divided(Split-Leg),Divided(Split-Leg),Dem,Dem,Dem,Dem
West Virginia,Dem,Dem,Dem,Dem,Dem,Divided,Divided,Divided,Rep,Rep,Rep
Wisconsin,Dem,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Divided,Divided
Wyoming,Divided,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
